Nome Pesquisado,ISBN,Data de Disponibilização,Número de páginas,Ano de publicação,Link,Error
SPED fiscal: dos conceitos básicos à prática,,,408,01/01/2014,https://www.livrariart.com.br/sped-fiscal-do-conceito-basico-a-pratica/p,
"Manual prático para restituição, ressarcimento, reembolso e compensação de Tributos Federais: PER/DCOMP",,,,,,Book not Found
Substituição tributária do ICMS-SP sem complicações,,,,,,Book not Found
"ISS, ICMS e IPI Aplicáveis à Construção Civil",,,232,2014,https://www.livrariart.com.br/iss-icms-e-ipi-aplicaveis-a-construcao-civil/p,
Participação nos lucros e nos resultados: natureza jurídica e incidência previdenciária,,,,,,Book not Found
,,,,,,
Coleção curso de tributos indiretos - PIS e COFINS,9788555420535,,,2016,https://www.livrariart.com.br/colecao-curso-de-tributos-indiretos-pis-e-cofins-9788555420535/p,
Impostos sobre serviços questões polêmicas,,,576,01/01/2016,https://www.livrariart.com.br/iss-questoes-polemicas/p,
O Novo CPC e seu Impacto no Direito Tributário,,,256,2015,https://www.livrariart.com.br/o-novo-cpc-e-seu-impacto-no-direito-tributario-2-edicao/p,
Revista dos Tribunais,,,,,,
Revista dos Tribunais ,,,,,,
Caderno especial: a regulação da criptografia no direito brasileiro,,,,,,Book not Found
Coleção de Artigos - Curadoria de Caio Tício Mérvio,,,,,,Book not Found
Herança Legítima Ad Tempus: tutela sucessória no âmbito da filiação resultante de reprodução assistida póstuma,,,,,,Book not Found
"Clássicos Jurídicos: a luta pelo direito, o contrato social, o príncipe, dos delitos e das penas",9788520372456,,464,2018,https://www.livrariart.com.br/classicos-juridicos-a-luta-pelo-direito-do-contrato-social-dos-delitos-e-das-penas-o-principe-9788520372456/p,
"E Agora, Tarsila? Dilemas da reforma trabalhista e as contradições do mundo do trabalho",,,226,2017,https://www.livrariart.com.br/e-agora-tarsila-dilemas-da-reforma-trabalhista-9788520368732/p,
CLT Comparada Urgente,,,,,https://www.livrariart.com.br/clt-comparada-urgente-2-edicao-9788520368718/p,
Mediação e Conciliação: teoria e prática,,,,,,Book not Found
,,,,,,
Mediação Empresarial: aplicação de mecanismos alternativos para solução de disputas entre sócios,,,,,,Book not Found
Fashion Law: direito e moda no Brasil,,,,,,Book not Found
Curso de Processo Civil Completo,9786559913077,3/28/22,1928,2022,https://www.livrariart.com.br/curso-de-processo-civil-completo-3-edicao/p,
Introdução ao pensamento jurídico e à teoria geral do Direito Privado,9786550654276,27/05/2020,704,2020,https://www.livrariart.com.br/e-book-alimentos-2-edicao/p,
Direito Internacional Público,9788553213016,,1380,2019,https://www.livrariart.com.br/direito-internacional-publico-9788553213016/p,
Direito do Consumo Sustentável,,,,,https://www.livrariart.com.br/direito-do-consumo-sustentavel-1-edicao-9788554947729/p,
As Cortes Supremas Diante da Prova,9788554947392,,245,2018,https://www.livrariart.com.br/as-cortes-supremas-diante-da-prova-1-edicao-9788554947392/p,
As Funções da Eficiência no Processo Civil Brasileiro,9788554947415,,300,2017,https://www.livrariart.com.br/as-funcoes-da-eficiencia-no-processo-civil-brasileiro-1-edicao-9788554947415/p,
,,,,,,
Defesa do executado,9788520371183,,2017,300,https://www.livrariart.com.br/defesa-do-executado-colecao-liebman-1-edicao-9788520371183/p,
,,,,,,
Reforma Trabalhista na Visão da Advocacia: aspectos práticos e estratégias para o cotidiano,,,,,,Book not Found
Coleção curso de tributos indiretos - Curso de ISS,9788520372807,,,2017,https://www.livrariart.com.br/colecao-curso-de-tributos-indiretos-v-3-iss-9788520372807/p,
Negócios processuais e desjudicialização da produção da prova,9788520372968,,2017,300,https://www.livrariart.com.br/negocios-processuais-e-desjudicializacao-da-producao-da-prova-analise-economica-e-juridica-1-edicao-9788520372968/p,
,,,,,,
Cumulação de Ações,9788553219827,,304,2019,https://www.livrariart.com.br/cumulacao-de-acoes-5-edicao/p,
"Provas: Atipicidade, liberdade e instrumentalidade",,,,,,Book not Found
,,,,,,
,,,,,,
Responsabilidade Civil – Direito de Empresa e Exercício da Livre Iniciativa,,,,,,Book not Found
Responsabilidade Civil – Indenizabilidade e Direito do Consumidor,,,,,,Book not Found
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Antecipação da Tutela,9788553218851,,224,2019,https://www.livrariart.com.br/ebook-antecipacao-da-tutela-4-edicao-9788553218851/p,
,,,,,,
Segurança jurídica e processo: da rigidez à flexibilização processual,9788553210565,,352,2018,https://www.livrariart.com.br/seguranca-juridica-e-processo/p,
Aspectos Polêmicos dos Recursos Cíveis e Assuntos Afins,9788553210848,,400,2018,https://www.livrariart.com.br/aspectos-polemicos-dos-recursos-civeis-e-assuntos-afins-9788553210848/p,
,,,,,,
Direito do Consumidor: vulnerabilidade do consumidor e modelos de proteção,,,,,,Book not Found
Direito do Consumidor: proteção da confiança e práticas comerciais,,,,,,Book not Found
,,,,,,
Direito do Consumidor: teoria de qualidade e danos,,,,,,Book not Found
,,,,,,
"Prequestionamento, Repercussão Geral da Questão Constitucional, Relevância da Questão Federal",9788520373170,,382,2017,https://www.livrariart.com.br/prequestionamento-repercussao-geral-da-questao-constitucional-relevancia-da-questao-federal-9788520373170/p,
,,,,,,
,,,,,,
Família e Sucessões: entidades familiares,,,,,,Book not Found
Família e Sucessões: separações conjugais e divórcio,,,,,,Book not Found
Família e Sucessões: relações de parentesco,,,,,,Book not Found
Família e Sucessões: direito de família patrimonial,,,,,,Book not Found
,,,,,,
,,,,,,
,,,,,,
Leis Trabalhistas Comentadas,9788553211531,,400,2018,https://www.livrariart.com.br/leis-trabalhistas-comentadas-1-edicao-9788553211531/p,
,,,,,,
,,,,,,
Juiz Natural no Processo Penal,,,608,01/01/2014,https://www.livrariart.com.br/juiz-natural-no-processo-penal/p,
"Jurisdição constitucional e o Código de Processo Civil: sincronia, racionalidade, interpretação e segurança jurídica",9788520371053,,300,2017,https://www.livrariart.com.br/jurisdicao-constitucional-e-codigo-de-processo-civil-sincronia-racionalidade-interpretacao-e-seguranca-juridica-1-edicao-9788520371053/p,
Curso de Arbitragem ,9786556148298,28/03/2021,740,2021,https://www.livrariart.com.br/curso-de-arbitragem/p,
Embargos de Declaração: como se motiva uma decisão judicial?,,,,,,Book not Found
Direito Privado e Desenvolvimento Econômico: estudos da Associação Luso-Alemã de Juristas (DLJV) e da Rede Alemanha-Brasil de Pesquisas em Direito do Consumidor,,,,,,Book not Found
Compliance no Direito Tributário,9786556142753,29/10/2020,392,2020,https://www.livrariart.com.br/compliance-no-direito-tributario-volume-7/p,
,,,,,,
Direito Jurisprudencial,,,752,01/01/2012,https://www.livrariart.com.br/direito-jurisprudencial/p,
Fraudes Contra Credores,,,,,,Book not Found
,,,,,,
"Princípios do Processo na Constituição Federal: processo civil, penal e administrativo",,,,,,Book not Found
Prática e Estratégia - Contratos Cíveis,,,,,,Book not Found
Correlação entre Acusação e Sentença,9788553212637,,320,2019,https://www.livrariart.com.br/correlacao-entre-acusacao-e-sentenca-4-edicao-9788553212637/p,
,,,,,,
