Nome Pesquisado,ISBN,Data de Disponibilização,Número de páginas,Ano de publicação
Impostos sobre serviços questões polêmicas,,,576,01/01/2016
Segurança jurídica e processo: da rigidez à flexibilização processual,9788553210565,,352,2018
Cláusulas abusivas nas relações de consumo,,,272,01/01/2014
"Instituições de Direito Civil: registros, notas e prova documental",,28/05/2021,,2021
Novo Manual de Direito Comercial: direito de empresa,9786556147567,28/09/21,1200,2021
A Boa-Fé Objetiva Pré-Contratual: deveres anexos de conduta,9786556144283,28/04/2021,568,2021
"A Empresa Importadora: como criar, organizar e dirigir: planejamento, controle e gestão",9788553214310,,240,2019
Disponibilidade Processual,,28/05/2021,,2021
Produção de Provas em Sede Recursal,9788553218578,,240,2019
"Curso de Direito Civil: família, sucessões",9786550650001,,336,2020
Comentários ao Pacote Anticrime,9786550651404,26/03/2020,250,2020
Arbitragem e Poder Judiciário: proposta para um diálogo,9786550652968,28/04/2020,136,2020
Provas,9786559917860,28/09/21,304,2021
Notas Introdutórias sobre a Repercussão da Covid-19 no Direito Brasileiro,9786556144283,28/04/2021,568,2021
Tributação da Economia Digital,9786526009956,7/28/22,648,2022
Processo Civil,,28/05/2021,,2021
"Pessoa, Direitos e Direito",9786556144498,28/01/2021,188,2021
"Sorria, Você Está Sendo Filmado!",9786556144412,28/01/2021,272,2021
"Compliance em Direitos Humanos, Diversidade e Ambiental",9786556146003,28/05/2021,502,2021
Reflexos da LGPD no Direito e no Processo do Trabalho,9786559913602,2/28/22,520,2022
Contratos de Serviços em Tempos Digitais,9786556145211,28/06/2021,558,2021
Litigation 4.0,9786556149479,28/02/2021,408,2021
Títulos de Crédito,9786556147840,28/03/2021,176,2021
A Política do Enquadro,9786556145389,28/05/2021,320,2021
O Direito e o Extrajudicial: Direito Civil III,9786559918539,07/09/2021,366,2021
O Direito e o Extrajudicial: Direito Empresarial,9786559918522,07/09/2021,309,2021
O Direito e o Extrajudicial: Direito Internacional,9786559918515,07/09/2021,222,2021
Controle do Patrimônio Público,9786559919000,04/08/2021,450,2021
"Inovações no Sistema de Justiça: meios alternativos de resolução de conflitos, justiça multiportas e iniciativas para a redução da litigiosidade e o aumento da eficiência nos tribunais: estudos em homenagem a Múcio Vilar Ribeiro Dantas",9786556144283,28/04/2021,568,2021
Controle da Prova Penal: Obtenção e Admissibilidade,9786556145433,28/05/2021,320,2021
O CPC de 2015 Visto Pelo STJ,9786556145440,04/08/2021,1625,2021
Redirecionamentos da Execução Civil: projeções da teoria do objeto litigioso,9786556145426,28/05/2021,316,2021
Dano Moral e Reparação Não Pecuniária: sistemática e parâmetros,,28/05/2021,,2021
Curso de Direito Imobiliário Brasileiro,9786559918966,11/08/2021,1008,2021
Curso de Processo Penal Militar,9786556145228,28/06/2021,751,2021
Crimes de Licitação e Contratações Públicas: elementos de direito administrativo e direito penal,,,,
Ação Rescisória por Violação a Precedente,9786559918997,04/08/2021,285,2021
Contratos de Transporte: novos paradigmas do caso fortuito e força maior,9786556144283,28/04/2021,568,2021
Tax 4.0: tributação na realidade exponencial,,28/05/2021,,2021
Tutela de Urgência e Tutela da Evidência: soluções processuais diante do tempo da justiça,9786556140278,26/06/2020,264,2020
Marco Legal das Startups: Lei complementar 182/2021 e o fomento ao empreendedorismo inovador no Brasil,9786556144283,28/04/2021,568,2021
